en,tr,title,speaker,duration,tags
"
											The incredible thing about this riddle 
is that you can reach the solution
											despite an almost complete lack 
of correct information.
											And that’s possible because 
knowing that something is false
											is meaningful information 
in its own right.
									","
											Bu bulmacanın inanılmaz yönü şu:
											Elinizde neredeyse hiç doğru bilgi olmadan
doğru sonuca ulaşabilirsiniz.
											Bu mümkün çünkü bir şeyin
yanlış olduğunu bilmek
											başlı başına anlamlı bir bilgidir.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											The first key is to realize that no team 
will play more than two matches,
											since there are only two other teams.
											So if the elves didn’t actually play 
one match,
											and the goblins didn’t actually play two,
											the truth must be that elves played two 
and goblins played one.
											For the elves to have played two matches,
											they must’ve faced each of the other teams
once.
											And since goblins have only played 
one match so far— against the elves—
											that means the match between goblins 
and treefolk has not occurred yet.
									","
											İlk kilit nokta, hiçbir takımın
ikiden fazla maç yapmayacağı.
											Çünkü karşılaşabileceği
sadece iki takım var.
											Yani elfler bir maç yapmamışlarsa
											ve goblinler iki maç yapmamışlarsa
											elfler iki, goblinler bir maç yapmıştır.
											Elflerin iki maç yapmış olması için
											diğer iki takımla da
karşılaşmış olmaları gerekir
											ve goblinler şu ana kadar bir maç yaptıysa
ki bu da elflere karşı,
											bu demek oluyor ki goblinler ve treefolk
arasındaki maç henüz gerçekleşmemiş.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											We know it’s false that the treefolk tied 
zero matches,
											which means their bout 
against the elves must’ve tied.
											We also know that the elves won 
at least one match,
											and since they tied against the treefolk, 
they must have beaten the goblins.
									","
											Treefolkun hiç maç yapmamış olmasının
yanlış olduğunu biliyoruz.
											Bu da onların elflere karşı olan maçı
berabere bitmiş demek.
											Ayrıca elflerin en az
bir maç kazandığını da biliyoruz
											ve treefolkla berabere kalmışlarsa
goblinleri yenmişlerdir.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											But can we figure out the actual scores?
											Let’s start with the elf-treefolk tie.
											Because no more than five total hits 
were scored,
											the final tally must’ve been 
0-0, 1-1, or 2-2.
											But the treefolk must’ve scored 
some hits,
											and it’s false that they only had one hit 
scored against them.
											The only option that leaves is 2-2.
									","
											Peki gerçek puanlara ulaşabilir miyiz?
											Elf - treefolk beraberliğiyle başlayalım.
											Beşten fazla vuruş olmadığına göre
											sonuç 0-0, 1-1 veya 2-2 olmalı.
											Ama treefolk vuruş yapmış olmalı
											ve karşı takımın bir vuruş
yapmış olması da yanlış.
											Kalan tek seçenek 2-2.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											In the match between elves and goblins,
											the goblins must’ve scored 
at least one hit.
											And the elf score must be 2 or more 
for them to have won the match.
											This leaves only a few possibilities 
that add up to 5 or less.
											The elves couldn’t have scored three, 
so that eliminates these two.
											And their total hits scored 
across both matches can’t add up to six,
											so this one’s out too.
											So the score must’ve been 2-1.
									","
											Elf ve goblinlerin maçındaysa
											goblinler en az bir vuruş yapmış olmalı
											ve elfler iki veya daha fazla vuruş
yapmış olmalı ki maçı kazanabilsinler.
											Toplamın beş veya beşten az olması için
çok az seçenek kalıyor.
											Elfler üç vuruş yapmış olamazlar,
böylece bu ikisi eleniyor.
											Üstelik iki maçta
toplam vuruş sayıları altı olamaz,
											bu yüzden bu da eleniyor.
											Sonuç 2-1 olmalı.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											With one match remaining,
											you’ve managed to save your job— 
and your neck.
											Gorbak the wizard may have lied,
											but your deductive skills 
quickly evened the score.
									","
											Yapılmamış tek bir maçla
											hem görevini hem de boynunu
kurtarmayı başardın.
											Büyücü Gorbak yalan söylemiş olabilir
											ama senin tümdengelim becerilerin
çabucak puanları düzeltti.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
