en,es,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											Unfortunately, you didn't do very well.
									","
											Lamentablemente, no les fue muy bien.
									","
											Infelizmente,
vocês não se saíram muito bem.
									","
											Malheureusement, vous n'avez pas brillé.
									","
											Maalesef, hiç de iyi bir iş 
çıkartamamışsınız.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşme)
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											The quantum computer won
almost every game.
											It lost a few only because
of operational errors in the computer.
									","
											La computadora cuántica
ganó casi todas las rondas.
											Solo perdió algunas porque tuvo
errores operativos en el sistema.
									","
											O computador quântico ganhou
quase todos os jogos.
											Perdeu alguns por causa
de erros operacionais no computador.
									","
											L'ordinateur quantique a gagné
presque toutes les parties.
											Il en a perdu quelques-unes
à cause d'erreurs internes.
									","
											Kuantum bilgisayar neredeyse
bütün oyunları kazanmış.
											Operasyonel hatalar nedeniyle sadece
birkaç oyun kaybetmiş.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşme)
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											So how did it achieve
this amazing winning streak?
											It seems like magic or cheating,
											but actually, it's just
quantum physics in action.
											Here's how it works.
											A regular computer simulates
heads or tails of a coin as a bit,
											a zero or a one,
											or a current flipping on and off
inside your computer chip.
											A quantum computer
is completely different.
											A quantum bit has a more fluid,
nonbinary identity.
											It can exist in a superposition,
or a combination of zero and one,
											with some probability of being zero
and some probability of being one.
											In other words,
its identity is on a spectrum.
											For example, it could have
a 70 percent chance of being zero
											and a 30 percent chance of being one
											or 80-20 or 60-40.
											The possibilities are endless.
											The key idea here
											is that we have to give up
on precise values of zero and one
											and allow for some uncertainty.
											So during the game,
											the quantum computer creates
this fluid combination of heads and tails,
											zero and one,
											so that no matter what the player does,
											flip or no flip,
											the superposition remains intact.
											It's kind of like stirring
a mixture of two fluids.
											Whether or not you stir,
the fluids remain in a mixture,
											but in its final move,
											the quantum computer
can unmix the zero and one,
											perfectly recovering heads
so that you lose every time.
									","
											Entonces, ¿cómo logró
esta increíble racha de victorias?
											Parece magia o una trampa,
											pero realmente es solo
física cuántica en acción.
											Así es cómo funciona.
											Una computadora normal simula las caras
o sellos de una moneda como un bit:
											un cero o un uno,
											o una corriente que circula o no
dentro del chip de la computadora.
											Una computadora cuántica 
es completamente diferente.
											Un bit cuántico tiene una identidad
más fluida, no binaria.
											Puede existir en una superposición,
o una combinación de cero y uno,
											con cierta probabilidad de ser cero
y cierta probabilidad de ser uno.
											En otras palabras, su identidad
está en un espectro.
											Por ejemplo, puede tener un 70 %
de probabilidad de ser cero
											y un 30 % de probabilidad de ser uno.
											O puede ser 80-20, o 60-40.
											Las posibilidades son infinitas.
											La idea principal aquí
											es que debemos dejar de lado
los valores precisos de cero y uno
											y dar lugar a cierta incertidumbre.
											Así que durante el juego,
											la computadora cuántica crea
esta combinación fluida de caras y sellos,
											cero y uno,
											de modo que no importa
si el jugador lanza o no:
											la superposición se mantiene intacta.
											Es como si estuvieran revolviendo
una mezcla de dos fluidos.
											Ya sea que revuelvan o no,
los fluidos se mantienen en la mezcla.
											Pero en su última jugada,
											la computadora cuántica 
puede separar el cero y el uno,
											y recuperar sin problemas la cara
de modo que Uds. siempre pierden.
									","
											Como é que ele conseguiu
esta proeza espantosa?
											Parece magia ou batota,
											mas, na verdade, é apenas
a física quântica em ação.
											Funciona assim.
											Um computador normal simula
cara ou coroa duma moeda como um bit,
											um 0 ou um 1,
											ou virar ou não virar
no ""chip"" do nosso computador.
											Um computador quântico
é totalmente diferente.
											Um bit quântico tem uma identidade
mais fluida, não binária.
											Pode existir numa sobreposição
ou numa combinação de O e de 1,
											com alguma probabilidade de ser 0
e alguma probabilidade de ser 1.
											Por outras palavras, a sua identidade
está num espetro.
											Por exemplo, pode ter 70%
de probabilidades de ser 0
											e 30% de hipóteses de ser 1
											ou 80-20, ou 60-40.
											As possibilidades são infindáveis.
											A ideia principal aqui
											é que temos de abandonar
os valores exatos de 0 e de 1
											e permitir uma certa incerteza.
											Assim, durante o jogo,
											o computador quântico cria
esta combinação fluida de caras e coroas,
											de 0 e de 1,
											de modo que, faça o jogador o que fizer,
											vire a moeda ou não vire,
											a sobreposição mantém-se intacta.
											É como revolver uma mistura
de dois fluidos.
											Quer a revolvam ou não,
os fluidos continuam na mistura,
											mas no movimento final,
											o computador quântico
pode separar o 0 e o 1,
											recuperando perfeitamente as caras
e, por isso, nós perdemos sempre.
									","
											Alors comment a-t-il obtenu
cette superbe série de victoires ?
											On dirait de la magie ou de la triche,
											mais en fait, ce n'est rien
que la physique quantique en action.
											Voici comment cela fonctionne.
											Un ordinateur habituel modélise
le pile ou face sur un jeton par un bit,
											soit un 0, soit un 1,
											ou par un interrupteur on/off
dans la puce de l'ordinateur.
											Un ordinateur quantique
est complètement différent.
											Un bit quantique possède une identité
plus fluide, non binaire.
											Il peut être une superposition
ou une combinaison de 0 et de 1,
											avec une probabilité de valoir 0
et une probabilité de valoir 1.
											En d'autres termes, son identité
appartient à un spectre.
											Par exemple, il pourrait avoir
70% de chances de valoir 0
											et 30% de chances de valoir 1,
											ou 80-20, ou 60-40.
											Les possibilités sont innombrables.
											L'idée fondamentale ici
											est qu'il faut abandonner
les valeurs précises que sont 0 et 1
											et autoriser une incertitude.
											Durant la partie,
											l'ordinateur quantique crée
cette combinaison fluide de pile ou face,
											de 0 et de 1,
											de manière à ce que,
quoi que le joueur fasse,
											jeton lancé ou non,
											la superposition demeure intacte.
											C'est un peu comme remuer
un mélange de deux fluides.
											Que vous remuiez ou non,
les fluides restent dans le mélange,
											mais lors de son deuxième tour,
											l'ordinateur peut rétablir le 0 ou le 1,
											en rétablissant parfaitement le côté face,
pour que vous perdiez à chaque fois.
									","
											Bu kazanma periyodunu nasıl başarmıştı?
											Bu bir tür sihir veya aldatma
gibi görünüyor
											fakat aslında, bu sadece aksiyondaki
kuantum fiziğidir.
											İşte nasıl çalıştığı.
											Normal bilgisayarlar yazı veya 
turayı bit olarak simule ederler,
											sıfır veya bir olarak
											veya mevcut atma açık veya kapalı
sizin bilgisayarınızın içindeki çipte.
											Kuantum Bilgisayar tamamen farklıdır.
											Kuantum bit daha değişkendir,
binary olmayan bir yapısı vardır.
											Üst üste konulmuş ve bir araya getirilmiş
sıfır ve birlerden oluşabilir,
											bazı sıfır olma ihtimali ve bazı bir 
olma ihtimali ile birlikte.
											Yani, kimiliği bir spektrumdadır.
											Örneğin, yüzde 70 sıfır 

											ve yüzde 30 bir olma ihtimalini 
barındırabilir
											veya 80-20 veya 60-40.
											İhtimaller sonsuz.
											Burada anahtar fikir
											sıfır ve birin mutlak değerini terk
etmek zorundayız
											ve bazı belirsizliklere 
izin vermeliyiz.
											Oyun boyunca,
											Kuantum bilgisayar yazı ve turanın bu 
değişken kombinasyonunu yaratmakta,
											sıfır ve bir,
											bu nedenle oyuncuların ne
yaptığı yazı veya tura
											önemli değil,
											üst üste çakıştırma zarar 
görmemiş halde kalacaktır.
											İki sıvının karıştırılması 
gibi bir şey.
											Karıştırın veya karıştırmayın,
sıvı karışım olarak kalır.
											Fakat en son harekette,
											Kuantum bilgisayar bir ve sıfırı 
ayrıştırır,
											mükemmel olarak turayı elde eder,
bu nedenle her zaman kaybedersiniz.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşme)
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											If you think this is all a bit weird,
you are absolutely right.
											Regular coins do not exist
in combinations of heads and tails.
											We do not experience
this fluid quantum reality
											in our everyday lives.
											So if you are confused by quantum,
											don't worry, you're getting it.
									","
											Si piensan que esto es algo extraño,
tienen toda la razón.
											No existen las monedas 
con una mezcla de cara y sello.
											No vivimos esta realidad cuántica fluida
											en nuestra cotidianidad.
											Así que si los confunde
esto de la teoría cuántica
											no se preocupen que lo están entendiendo.
									","
											Se acham que isto é um pouco estranho,
têm toda a razão.
											Não há moedas normais 
com uma mistura de caras e coroas.
											Não temos experiência
desta realidade de fluido quântico
											na nossa vida quotidiana.
											Portanto, se se sentem confusos
com o quântico,
											não se preocupem, hão de lá chegar.
									","
											Si vous pensez que tout cela est étrange,
vous avez absolument raison.
											Les jetons normaux n'existent pas
comme combinaisons de pile ou face.
											Nous ne vivons pas
cette réalité quantique fluide
											au quotidien.
											Donc si le quantique vous embrouille,
											ne vous inquiétez pas,
c'est que vous comprenez.
									","
											Bunların hepsinin garip olduğunu
düşünüyorsanız, kesinlikle haklısınız.
											Normal para tura ve yazının 
kombinasyonundan oluşmaz.
											Günlük yaşamımızda bu değişken 
kuantum gerçekliğini
											tecrübe etmiyoruz.
											Bu nedenle kuantum tarafından 
kafanız karıştırıldıysa
											endişe etmeyin, demek ki anlıyorsunuz.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşmeler)
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
