en,es,title,speaker,duration,tags
"
											JS: The more I worked with them,
the more terrified I got of them.
											They're actually very scary,
especially under a microscope.
											They have really sharp mandibles,
are generally pretty aggressive,
											which I guess also helps them
to be really good predators.
									","
											JS: Cuanto más trabajé con ellas,
más me aterrorizaron.
											La verdad es que son aterradoras,
especialmente bajo un microscopio.
											Tienen las mandíbulas muy afiladas,
y son bastante agresivas.
											Supongo que eso les ayuda
a ser muy buenos depredadores.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											GG: In order to learn what's going on
inside the dragonfly's brain
											when it sees a prey,
											we're going to eavesdrop in
on a conversation
											between the eyes and the wings,
											and to do that, we need
to anesthetize the dragonfly on ice
											and make sure we protect its wings
so that we can release it afterwards.
											Now, the dragonfly's brain is made up
of specialized cells called neurons
											and these neurons
are what allow the dragonfly
											to see and move so quickly.
											The individual neurons form circuits
by connecting to each other
											via long, tiny threads called axons
											and the neurons communicate
over these axons using electricity.
											In the dragonfly, we're going to place
little metal wires, or electrodes,
											along the axon tracks,
											and this is what's really cool.
											In the dragonfly, there's only 16 neurons;
											that's eight per eye
											that tell the wings
exactly where the target is.
											We've placed the electrodes
so that we can record from these neurons
											that connect the eyes to the wings.
											Whenever a message is being passed
from the eye to the wing,
											our electrode intercepts that conversation
in the form of an electrical current,
											and it amplifies it.
											Now, we can both hear it and see it
in the form of a spike,
											which we also call an action potential.
									","
											GG: Para saber lo que ocurre
en el cerebro de la libélula
											cuando ve la presa,
											escuchamos a escondidas una conversación
											entre los ojos y las alas.
											Para hacerlo, necesitamos anestesiar
a la libélula sobre hielo
											y proteger sus alas
para poder liberarla después.
											El cerebro de la libélula se compone
de células especializadas
											llamadas neuronas.
											Y esas neuronas son las que permiten
a la libélula ver y moverse tan rápido.
											Las neuronas individuales 
forman circuitos interconectados
											a través de largos y delgados filamentos
llamados axones.
											Las neuronas se comunican
por estos axones, mediante electricidad.
											Metemos pequeños alambres,
o electrodos, en la libélula,
											por las vías axonales.
											Y esto es muy interesante:
											En la libélula, hay solo
16 neuronas, ocho por ojo,
											que le dicen a las alas
exactamente dónde está el blanco.
											Pusimos los electrodos
para poder grabar de las neuronas
											que conectan los ojos con las alas.
											Cada vez que se envía un mensaje 
del ojo al ala,
											el electrodo intercepta esa conversación
											en forma de corriente eléctrica
											y la amplifica.
											Ahora podemos escucharla y verla
en la forma de pico,
											que también se llama una potencia activa.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Now let's listen in.
											Right now, we have the dragonfly
flipped upside down,
											so he's looking down towards the ground.
											We're going to take a prey,
or what we sometimes call a target.
											In this case, the target's
going to be a fake fly.
											We're going to move it
into the dragonfly's sights.
									","
											Escuchémosla.
											En este momento tenemos
a la libélula boca abajo,
											entonces está mirando hacia el suelo.
											Tomamos una presa
o lo que a veces llamamos un blanco.
											En este caso, el blanco
es una mosca falsa.
											La movemos hasta estar
a la vista de la libélula.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											(Buzzing)
									","
											(Zumbido)
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Oh!
											Oh, look at that.
											Look at that, but it's only
in one direction.
											Oh, yes!
											You don't see any spikes
when I go forward,
											but they're all when I come back.
									","
											¡Oh!
											¡Mira eso!
											Mira eso. Pero solo ocurre
con una dirección.
											¡Sí!
											No se ve ningún pico
cuando voy para adelante,
											pero están allí cuando voy para atrás.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											In our experiments,
											we were able to see
that the neurons of the dragonfly
											fired when we moved the target
in one direction but not the other.
									","
											En nuestros experimentos,
											pudimos ver que las neuronas
de la libélula dispararon
											cuando movimos el punto
en una dirección, pero no en la otra.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Now, why is that?
											Remember when I said that the dragonfly
											had near 360-degree vision.
											Well, there's a section
of the eye called the fovea
											and this is the part
that has the sharpest visual acuity,
											and you can think of it as its crosshairs.
											Remember when I told you the dragonfly had
individual precise control of its wings?
											When a dragonfly sees its prey,
it trains its crosshairs on it
											and along its axons
it sends messages only to the neurons
											that control the parts of the wings
											that are needed
to keep that dragonfly on target.
											So if the prey is
on the left of the dragonfly,
											only the neurons that are tugging
the wings to the left are fired.
											And if the prey moves
to the right of the dragonfly,
											those same neurons are not needed,
so they're going to remain quiet.
											And the dragonfly speeds toward the prey
											at a fixed angle that's communicated
by this crosshairs to the wings,
											and then boom, dinner.
									","
											¿Por qué pasó así?
											¿Recuerdas cuando dije que la libélula
tiene la visión de casi 360 grados?
											Hay una sección del ojo llamada la fóvea
											y esta es la parte con
la mayor agudeza visual.
											Piénsalo como su punto de mira.
											¿Recuerdas cuando dije que la libélula
tiene el control individual de sus alas?
											Cuando una libélula ve a su presa,
apunta su punto de mira hacia ella
											y a través de sus axones,
envía mensajes solo a las neuronas
											que controlan las partes 
de las alas que se necesitan
											para guiar a la libélula al blanco.
											Entonces si la presa está
a la izquierda de la libélula,
											solo se disparan las neuronas que 
tiran de las alas a la izquierda.
											Y si la presa se mueve
a la derecha de la libélula,
											esas mismas neuronas
ya no se necesitan y se quedan inactivas.
											La libélula corre hacia la presa
a un ángulo fijo
											que se comunica por este punto a las alas,
											y luego -¡boom!- la cena.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Now, all this happens in a split second,
and it's effortless for the dragonfly.
											It's almost like a reflex.
											And this whole incredibly efficient
process is called fixation.
									","
											Todo esto ocurre en un instante,
y sin esfuerzo por parte de la libélula.
											Es casi como un reflejo.
											Este proceso increíblemente eficaz
se llama fijación.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											But there's one more
story to this process.
											We saw how the neurons
respond to movements,
											but how does the dragonfly know
that something really is prey?
											This is where size matters.
									","
											Pero hay algo más en este proceso.
											Vimos cómo las neuronas
respondieron a los movimientos,
											pero ¿cómo sabe la libélula
que algo sí es presa?
											Aquí el tamaño importa.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Let's show the dragonfly a series of dots.
											Oh, yeah!
									","
											Mostrémosle a la libélula
una serie de puntos.
											¡Sí!
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											JS: Yeah, it prefers that one.
									","
											JS: Sí, prefiere ese.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											GG: Out of all the sizes,
											we found that the dragonfly responded
to smaller targets over larger ones.
											In other words, the dragonfly
was programmed to go after smaller flies
											versus something much larger, like a bird.
											And as soon as it recognizes
something as prey,
											that poor little fly
only has seconds to live.
											Today we got to see
how the dragonfly's brain works
											to make it a very efficient killer.
											And let's be thankful
that we didn't live 300 million years ago
											when dragonflies were the size of cats.
									","
											GG: De todos los tamaños,
											encontramos que la libélula
respondió a los objetos pequeños
											más que a los grandes.
											Es decir, que la libélula está programada
para perseguir moscas más pequeñas
											versus algo mucho más grande,
											como un pájaro.
											Y tan pronto como identifique
algo como la presa,
											a esa pobrecita mosca,
solo le quedan segundos de vida.
											Hoy vimos cómo funciona
el cerebro de la libélula
											y que eso la convierte en 
un depredador muy eficaz.
											Agradezcamos que no vivimos 
hace 300 millones de años,
											cuando las libélulas eran
del tamaño de los gatos.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
