en,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											Pause the video now if you want
to figure it out for yourself.
									","
											Mettez la vidéo en pause maintenant
si vous souhaitez trouver la solution.
									","
											[Suspende aqui o vídeo se queres
resolver sozinho.
									","
											Kendi kendine düşünmek için
videoyu burada durdur.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											Answer in 3
									","
											Réponse dans 3
									","
											[Resposta em: 3
									","
											Cevap için 3
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											Answer in 2
									","
											Réponse dans 2
									","
											[Resposta em: 2
									","
											Cevap için 2
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											Answer in 1
									","
											Réponse dans 1
									","
											[Resposta em: 1
									","
											Cevap için 1
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											You don’t want to overshoot
by being too greedy.
											But there is a way you can guarantee
											to get more than half of the scoundrel’s 
stash.
									","
											Vous ne voulez pas dépasser
en étant trop gourmand.
											Mais il existe un moyen pour être sûr
											d'obtenir plus de la moitié
du butin de l'escroc.
									","
											Não queres ser demasiado ganancioso
e acabar por perder tudo.
											Mas há uma forma de garantir
											que recebes mais de metade
dos rubis do vigarista.
									","
											Çok açgözlü olup hedefi
ıskalamak istemezsin.
											Ama hainin zulasının yarısından
çoğunu alabilmenin bir yolu var.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											The situation resembles an 
adversarial game like chess –
											only here you can’t see the 
opponent’s position.
											To figure out the minimum number of rubies
you’re guaranteed to win,
											you need to look for the worst case
scenario,
											as if the merchant already knew your move
											and could arrange the rubies 
to minimize your winnings.
									","
											La situation est similaire
à un jeu comme les échecs -
											seulement ici vous ne pouvez pas voir
la position de votre adversaire.
											Pour déterminer le nombre minimum de rubis
que vous serez garanti de gagner,
											vous devez imaginer le pire des scénarii,
											comme si le marchand connaissait
déjà votre mouvement
											et pouvait répartir les rubis
pour minimiser vos gains.
									","
											A situação é parecida com um jogo
de adversários, como o xadrez,
											só que aqui não podes ver
a posição do adversário.
											Para imaginar o número mínimo
de rubis que ganhas de certeza,
											precisas de olhar para o pior cenário,
											como se o mercador
já soubesse a tua estratégia
											e pudesse distribuir os rubis
para minimizar os teus ganhos.
									","
											Durum satranç gibi
çekişmeli bir oyuna benziyor –
											fakat burada karşı tarafın
durumunu göremiyorsun.
											Kazanmayı garantileyeceğin
en az yakut sayısını bulmak için
											en kötü durum senaryosuna bakman gerek;
											çünkü tüccar senin hamleni biliyor
											ve yakutları, kazancını minimize
edecek şekilde düzenleyebilir.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											Because you have no way of knowing which
boxes will have more or fewer rubies,
											you should pick the same number for each.
											Suppose you write three 9’s.
											The scoundrel might have allocated the
rubies as 8, 14 and 8.
											In that case, you’d receive 9 from the
middle box and no others.
									","
											Comme vous ne pouvez pas savoir quelles
boites ont le plus ou le moins de rubis,
											vous devez choisir le même
nombre pour tous.
											Imaginons que vous écriviez trois 9.
											L'escroc pourrait avoir réparti
les rubis ainsi : 8, 14 et 8.
											Dans ce cas, vous recevrez 9 rubis
du coffre du milieu
									","
											Como não tens hipótese de saber
											quais as caixas que têm
mais ou menos rubis,
											deves pôr o mesmo número em todas elas.
											Supõe que escreves três noves.
											O vigarista pode ter distribuído
os rubis por 8, 14 e 8.
											Neste caso, receberás 9 da caixa do meio
e nenhum das outras caixas.
									","
											Hangi kutuların az ya da çok yakut
içerdiğini bilme şansın olmadığından
											her biri için aynı sayıyı seçmelisin.
											Örneğin her birine 9 yazdığını düşün.
											Hain, yakutları 8, 14 ve 8 şeklinde 
dağıtmış olsun.
											Bu durumda sadece
ortadaki kutudan 9 tane alırsın.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											On the other hand, you can be
sure that at least two boxes
											have a minimum of 8 rubies.
											Here’s why.
											We’ll start by assuming the opposite,
											that two boxes have 7 or fewer.
											Those could not be the two that 
differ by 6,
											because every box must have 
at least 2 rubies.
											In that case, the third box would have at
most 13 rubies—that’s 7 plus 6.
											Add up all three of those boxes,
											and the most that could equal is 27.
											Since that’s less than 30,
											this scenario isn’t possible.
											You now know, by what’s called
a proof by contradiction,
											that two of the boxes have 
8 or more rubies.
											If you ask for 8 from all three boxes
											you’ll receive at least 16—
											and that’s the best you can guarantee,
											as you can see by thinking again
about the 8, 14, 8 scenario.
									","
											D'un autre côté, vous pouvez être sûr
qu'au moins deux coffres
											ont au minimum 8 rubis.
											Et voici pourquoi.
											Commençons par imaginer
la situation inverse,
											que les deux boites ont 7 rubis ou moins.
											Ce ne sont pas les deux coffres
qui différent de 6 rubis,
											car chaque boite doit au moins
contenir 2 rubis.
											Dans ce cas, le troisième coffre devrait
contenir 13 rubis - c'est à dire 7 plus 6.
											Additionnez ces trois coffres,
											et le score le plus haut est de 27.
											Comme le résultat est inférieur à 30,
											ce scénario est impossible.
											Vous savez, grâce à ce qu'on
appelle la preuve par contradiction,
											que deux des coffres doivent
avoir 8 rubis ou plus.
											Si vous demandez 8 rubis
pour les trois coffres,
											vous en recevrez au moins 16 -
											et ce sera votre meilleure garantie,
											si vous repensez au scénario
des 8, 14, et 8 rubis.
									","
											Por outro lado, podes ter a certeza
de que, pelo menos duas caixas
											têm um mínimo de 8 rubis.
											Porquê?
											Vamos começar por assumir o oposto,
											que duas caixas têm 7 ou menos.
											Estas duas caixas não podem ser
as que têm uma diferença de 6
											porque cada caixa tem de ter,
pelo menos, 2 rubis.
											Nesse caso, a terceira caixa teria
que ter, quando muito, 13 rubis
											— ou seja, 7 mais 6.
											Se somarmos as três caixas
											o total seria apenas 27.
											Como esse total é menor que 30,
											este cenário não é possível.
											Ficas a saber, por aquilo
a que se chama uma prova por contradição,
											que duas das caixas têm de ter
8 rubis ou mais.
											Se pedires 8 em todas as três caixas,
											receberás, pelo menos, 16 rubis
											e isso é o melhor que podes garantir,
											como podes ver, se pensares de novo
no cenário de 8, 14, 8.
									","
											Diğer taraftan en az
iki kutuda en az 8 yakut
											bulunması gerektiğini bilebilirsin.
											İşte nedeni.
											Tersini varsayarak başlayalım,
											yani iki kutuda 7 ve daha az bulunsun.
											Bu kutular 6 fazla olacak kutular olamaz
											çünkü her kutu en az 2 yakut içermeli.
											Bu durumda üçüncü kutu en fazla
13 yakut —yani 7 artı 6— içerecek.
											Şimdi bu üçünün toplamına bakarsak
											en fazla 27 olabileceğini görürüz.
											Bu 30'dan az olduğundan
											bu senaryo mümkün değil.
											Artık olmayana ergi
yöntemiyle ispata dayanarak
											iki kutunun 8 veya daha fazla
yakut içereceğini biliyorsun.
											Eğer tüm kutulara 8 yazarsan
											en az 16 alırsın—
											ve bu alabileceğin en iyi seçenek,
											8, 14, 8 senaryosunu
düşününce anlayabilirsin.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											You’ve recovered more than half the 
scoundrel’s fortune
											as restitution for the public.
											And though he’s managed to hold
on to some of his rubies,
											his fortune has definitely 
lost some of its shine.

									","
											Vous récupérerez plus de la moitié
de la fortune de l'escroc
											pour la rendre au public.
											Et bien qu'il ait réussi à garder la main
sur quelques rubis,
											sa fortune a clairement
perdu de sa valeur.
									","
											Recuperaste mais de metade
da fortuna do vigarista,
											para restituição ao público.
											Embora ele tenha conseguido
manter parte dos seus rubis,
											a fortuna dele perdeu definitivamente
parte do seu brilho.
									","
											Hainin servetinin
yarısından fazlasını
											halka iade edilmek üzere geri aldın.
											Yakutlarından bazılarını
tutmayı başarmış olsa da
											serveti kesinlikle parıltısını kaybetti.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
