en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Our goal, then, is to find answers to the 
previous questions
											that lead to just two possibilities.
											Of the three constraints offered,
											the one that narrows our options the most 
is if the number is a perfect cube.
											That leaves us with only eight answers 
between 13 and 1300.
											So let’s assume the answer to the 
third question was a truthful YES.
									","
											Dolayısıyla amaç,
sadece iki olasılığa götüren
											önceki soruların cevaplarını bulmak.
											Sorulan 3 kısıtlama arasından
seçeneklerimizi en çok daraltanı
											sayının tam küp olup olmadığı sorusu.
											Bu, bizi 13 ile 1300 arasında
sadece 8 cevapla bırakıyor.
											Dolayısıyla üçüncü sorunun cevabının 
dürüst bir EVET olduğunu varsayalım.
									","
											Notre but est donc de trouver les réponses
aux questions précédentes
											qui mènent à deux possibilités uniquement.
											Parmi les trois contraintes offertes,
											celle qui réduit le plus nos options
est si le nombre est un cube parfait.
											Cela nous laisse seulement
8 réponses entre 13 et 1 300.
											Partons du principe que la réponse à
cette question était un vrai OUI.
									","
											O nosso objetivo, portanto, é encontrar
as respostas às perguntas anteriores
											que levam às perguntas anteriores.
											Das três alternativas propostas,
											aquela que mais estreita as opções
é se o número é um cubo perfeito.
											Isso deixa-nos apenas com oito respostas
entre 13 e 1300.
											Portanto, partamos do princípio
											que a resposta à terceira pergunta
foi um SIM, verdadeiro.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Now, let’s look at the second question.
											If the chef answered YES to the number 
being a perfect square,
											it would narrow the interrogator’s options
to just 64 and 729–
											the only numbers in our range that are 
both a square and a cube.
											But neither of these has a 1 
as the second digit.
											So the given answer to the second question
must’ve been NO.
											And that also means we can eliminate these
two squares from the interrogator's list,
											leaving only six numbers.
									","
											Şimdi bir de ikinci soruya bakalım.
											Eğer şef, sayının tam kare 
olduğuna EVET cevabını verseydi
											sorgulayıcının seçeneklerini
sadece 64 ve 729'a daraltırdı–
											yani seçeneklerimiz arasında
hem kare hem de küp olan sayılar.
											Ancak hiçbirinin ikinci 
hanesinde 1 rakamı yok.
											Bu yüzden ikinci soruya verilen 
cevap HAYIR olmuş olmalı.
											Bu aynı zamanda sorgulayıcının listesinden
bu iki şıkkı elediğimiz anlamına geliyor,
											geriye sadece 6 sayı bırakıyor.
									","
											Regardons maintenant la seconde question.
											Si le chef avait répondu OUI à :
« le nombre est-il un carré parfait ? »,
											cela réduirait les possibilités
de l'interrogateur à 64 et 729 -
											les seuls nombres dans la série qui sont
à la fois un carré et un cube.
											Mais aucun de ces nombres
n'a de 1 comme second chiffre.
											Alors la réponse à la deuxième question
doit être NON.
											Cela signifie aussi que nous pouvons
supprimer ces deux carrés de la liste,
											ne laissant que six nombres.
									","
											Agora, vejamos a segunda pergunta.
											Se o ""chef"" respondeu SIM 
que o número era um quadrado perfeito,
											estreita as opções do interrogador
para 64 e 729
											— os únicos números, neste intervalo,
											que são quadrados e cubos,
simultaneamente.
											Mas nenhum deles tem um 1
como segundo dígito.
											Portanto, a resposta dada
à segunda pergunta tem de ser NÃO.
											Isso significa que podemos eliminar
											esses dois quadrados
da lista de perguntas,
											ficando apenas com seis números.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Now for the first question, 
which allows us to divide this list.
											If the chef answered YES to the number 
being less than 500,
											we’d have four options, which is too many.
											But a NO leaves us with two numbers 
greater than 500,
											one of which does have 
a 1 as its second digit.
									","
											Şimdi, bu listeyi bölmemizi 
sağlayan ilk soruya gelelim.
											Eğer şef sayının 500'den küçük 
olduğuna EVET cevabını verseydi
											4 seçeneğimiz olurdu ki bu çok fazla.
											Ancak HAYIR cevabı 500'den büyük 
2 sayıyla bizi baş başa bırakıyor
											ki birinin ikinci hanesi 1 rakamı.
									","
											La première question nous permet
de réduire cette liste.
											Si le chef a répondu OUI à « le chiffre
est-il plus petit que 500 ? »,
											nous avons 4 options, ce qui est trop.
											Mais un NON nous laisse avec deux nombres
plus grands que 500,
											dont l'un possède un 1 en second chiffre.
									","
											Agora, quanto à primeira pergunta
que nos permite dividir esta lista.
											Se o ""chef"" respondeu SIM
											quando lhe perguntaram
se o número era inferior a 500,
											temos quatro opções, o que é demais.
											Mas um NÃO deixa-nos apenas
com dois números, maiores de 500,
											um dos quais tem um 1
como segundo dígito.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											We don’t know which of these numbers 
the interrogator thinks is correct.
											But that doesn’t matter–
											remember, his conclusion 
was based on lies.
											You, on the other hand, are now in a 
position to reconstruct the truth.
									","
											Sorgulayıcının bu sayılardan hangisinin 
doğru olduğunu düşündüğünü bilmiyoruz.
											Ancak bunun bir önemi yok–
											hatırlayın, sorgulayıcının vardığı 
sonuç yalanlara dayanıyordu.
											Siz, diğer taraftan, doğruyu yeniden 
düzenleyebilecek bir konumdasınız.
									","
											Nous ne savons pas quel nombre
est correct selon l'interrogateur.
											Mais ce n'est pas important -
											souvenez-vous, sa conclusion est basée
sur des mensonges.
											De votre côté, en revanche,
vous pouvez reconstruire la vérité.
									","
											Não sabemos qual destes números
o interrogador pensa que está correto.
											Mas não faz mal.
											Lembra-te que a conclusão dele
se baseia em mentiras.
											Tu, pelo contrário, estás na posição
de reconstruir a verdade.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											First, the chef said the number was 
greater than 500 but lied,
											meaning it’s actually less than 500.
											Second, the chef said it wasn’t a 
perfect square but lied again,
											meaning the number is indeed a square.
											And finally, he truthfully confirmed 
that it was also a cube.
											And as we’ve already seen,
											the only number under 500 that’s 
both a square and a cube is 64.
									","
											İlk olarak şef sayının 500'den büyük 
olduğunu söyledi ancak yalan söyledi,
											yani bu, sayının aslında 500'den 
küçük olduğu anlamına geliyor.
											İkinci olarak şef
tam kare olmadığını söyledi
											ancak yeniden yalan söyledi,
											bu da sayının aslında bir kare 
olduğu anlamına geliyor.
											En sonunda dürüstçe sayının ayrıca
bir küp olduğunu da onayladı.
											Zaten gördüğümüz üzere
											hem kare hem de küp olan
500'den küçük tek sayı 64.
									","
											D'abord, le chef a menti en disant que
le nombre était plus grand que 500,
											cela signifie donc que le nombre
est plus petit que 500.
											Puis le chef a à nouveau menti en disant
que ce n'était pas un carré parfait,
											cela signifie donc que le nombre
est bien un carré.
											Enfin, il a honnêtement affirmé
que le nombre était aussi un cube.
											Et comme nous l'avons déjà vu,
											le seul nombre sous 500 qui est à la fois
un carré et un cube est 64.
									","
											Primeiro, o ""chef"" disse que o número 
era maior do que 500 , mas mentiu,
											ou seja, é menor do que 500.
											Segundo, o ""chef"" disse que não era
um quadrado perfeito, mas mentiu de novo,
											ou seja, o número é de facto
um quadrado perfeito.
											Por fim, confirmou, com verdade,
que também era um cubo.
											Como já vimos,
											o único número menor que 500
que é um quadrado e um cubo, é 64.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											You find the secret recipe and are gone 
before anyone’s the wiser.
											Corporate espionage is not an easy game—
											but sometimes, that’s just 
how the sausage is made.
									","
											Gizli tarifi buluyorsun
											ve birisi daha akıllıca
davranmadan önce oradan ayrılıyorsun.
											Kurumsal casusluk kolay bir oyun değil—
											ancak bazen sosis işte böyle yapılır.
									","
											Vous avez trouvé la recette secrète
et vous vous êtes évaporé.
											L'espionnage industriel
n'est pas un jeu aisé -
											mais parfois, ce sont les règles du jeu.
									","
											Encontras a receita secreta e piras-te
											antes de aparecer alguém mais esperto.
											A espionagem industrial
não é um jogo fácil,
											mas, por vezes, é assim 
que se fazem as salsichas.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
