pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											Nós, mulheres, vamos liderar
esta nova revolução,
											esta nova bandeira feminista.
											Nós vamos literalmente dormir até ao topo.
									","
											Y las mujeres vamos a dar el primer paso
											en esta nueva revolución, en este nuevo asunto feminista.
											Llegaremos a la cima, literalmente durmiendo más.
									","
											Biz kadınlar olarak
											bu devrimde öncü olacağız, bu yeni feminist konuda.
											Gerçek anlamda, zirveye uyuyarak çıkacağız.
									","
											Et les femmes vont montrer le chemin
											vers cette nouvelle révolution, cette nouvelle affaire féministe.
											Nous allons littéralement nous hisser jusqu'au sommet en dormant.
									","
											Wir Frauen wollen bei dieser neuen Revolution,
											bei dieser neuen feministischen Aufgabe Vorreiter sein.
											Wir werden uns buchstäblich nach oben schlafen.
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											Porque infelizmente,
											para os homens
											a privação do sono tornou-se
um símbolo de virilidade.
											Recentemente,
eu estava a jantar com um tipo
											que se gabava que só tinha dormido
quatro horas na noite anterior.
											Eu tive vontade de lhe dizer
— mas não disse —
											tive vontade de lhe dizer:
											""Sabes uma coisa?
Se tivesses dormido cinco horas
											""este jantar teria sido
muito mais interessante.""
									","
											Porque, por desgracia,
											para los hombres
											dormir poco se ha vuelto un símbolo de virilidad.
											Hace poco estaba cenando con un tipo
											que se jactaba de haber dormido
											sólo cuatro horas la noche anterior.
											Y yo tenía ganas de decirle, pero no se lo dije,
											tenía ganas de decirle: ""¿sabes qué?""
											Si hubieses dormido cinco horas
											esta cena habría sido mucho más interesante"".
									","
											Çünkü maalesef,
											erkekler için
											uyku bozukluğu bir güç sembolüne dönüştü.
											Geçenlerde bir erkekle yemek yiyordum,
											bir önceki gün dört saat uyuduğu için
											böbürleniyordu.
											Ona şöyle dediğimi düşündüm — fakat demedim —
											şöyle dediğimi düşündüm,
											""Biliyor musun beş saat uyusaydın,
											bu yemek daha eğlenceli olabilirdi.""
									","
											Parce que malheureusement,
											chez les hommes
											la privation de sommeil est devenue un symbole de virilité.
											Dernièrement, je dînais avec un mec
											qui se vantait d'avoir seulement dormi
											quatre heures la nuit d'avant.
											J'avais envie de lui dire — mais je ne l'ai pas dit —
											j'avais envie de dire : ""Tu sais quoi ?
											Si tu avais dormi cinq heures,
											ce dîner aurait été bien plus intéressant"".
									","
											Denn leider ist Schlafmangel
											für die Männer
											ein Zeichen von Männlichkeit geworden.
											Kürzlich saß ich mit einem Mann im Restaurant,
											der sich damit brüstete, dass er in der Nacht zuvor
											nur 4 Stunden Schlaf gehabt habe.
											Und ich wollte ihm sagen
											(aber ich sagte es nicht): ""Wissen Sie was?
											Wenn Sie 5 Stunden geschlafen hätten, dann wäre
											unser Zusammentreffen hier sicher sehr viel interessanter geworden.""
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											Há agora uma espécie de competição
											para ver quem dorme menos.
											Aqui em Washington,
se tentarmos marcar um pequeno-almoço,
											e dissermos: ""Que tal às oito?""
											provavelmente dirão:, 
""Oito horas é muito tarde para mim,
											""mas ok, jogo uma partida de ténis
											""faço algumas audioconferências
e vou ter contigo às oito.""
											Eles pensam que isso significa
											que eles são incrivelmente
ocupados e produtivos,
											mas a verdade é que não são,
											porque neste momento
											temos tido líderes brilhantes
											nos negócios, na finança, na política,
											a tomar decisões terríveis.
											Mas um QI alto não significa
que se é um bom líder,
											porque a essência da liderança
											é ser capaz de ver o icebergue
antes de embater no Titanic.
											E temos tido muitos icebergues
											a embater nos nossos Titanics.
									","
											Hay una suerte de competencia basada
											en la falta de sueño.
											Sobre todo aquí en Washington, si uno dice de reunirse a desayunar,
											si uno dice ""¿Qué les parece a las ocho?""
											Es probable que respondan: ""A las ocho es muy tarde para mí
											pero está bien, puedo jugar un partido de tenis
											hacer un par de llamadas y reunirme contigo a las ocho"".
											Y piensan que eso quiere decir
											que están tremendamente ocupados y son muy productivos
											pero la verdad es que no lo son
											porque en la actualidad
											hemos tenido líderes brillantes
											en los negocios, las finanzas y la política
											que tomaron decisiones terribles.
											Tener alto coeficiente intelectual
											no implica ser un buen líder
											porque la esencia del liderazgo
											es ser capaz de ver el témpano
											antes de chocar con el Titanic.
											Y hemos tenido demasiados témpanos
											impactando Titanics.
									","
											Şimdilerde yeni bir uyku bozukluğu tipi var
											üstünlük sağlama.
											Özellikle Vaşington'da, eğer birisi ile kahvaltı yapmak istiyorsanız
											ve ""Saat sekiz nasıl?"" diye sorarsanız
											büyük ihtimalle size ""Sekiz benim için çok geç,
											fakat sorun değil, tenis oynayıp,
											birkaç konferans araması yapıp, sizinle sekizde buluşabilirim."" diyeceklerdir.
											Onlar kendilerinin
											inanılmaz derecede meşgul ve verimli olduğunu düşünüyorlar,
											fakat gerçekte değiller,
											çünkü şu an,
											iş dünyasında, finansta, siyasette
											parlak birçok liderin
											korkunç kararlar aldığını gördük.
											Yüksek I.Q.
											iyi bir lider olduğunuz anlamına gelmiyor,
											çünkü liderliğin özü
											buz dağını Titanic'e çarpmadan
											görebilmek.
											Ve Titanic'lerimize çarpan
											birçok buzdağımız oldu.
									","
											Il y a maintenant une surenchère
											de manque de sommeil.
											Particulièrement ici à Washington, où pour donner rendez-vous au petit-déjeuner,
											si vous dites : ""Huit heures, ça vous va ?""
											ils vont répondront probablement : ""Huit heures c'est trop tard pour moi,
											mais c'est bon, je peux faire un tennis,
											donner quelques conférences téléphoniques, et vous retrouver à huit heures"".
											Ils pensent que cela signifie
											qu'ils sont incroyablement occupés et productifs,
											mais ils ne le sont pas en vérité,
											parce que nous avons en ce moment,
											des dirigeants brillants
											dans les affaires, la finance, la politique,
											qui prennent d'épouvantables décisions.
											Donc un Q.I. élevé
											ne signifie pas que vous êtes un bon dirigeant,
											parce que l'essence du dirigeant
											est de pouvoir voir l'iceberg
											avant qu'il ne heurte le Titanic.
											Nous avons eu beaucoup trop d'icebergs
											qui ont heurté notre Titanic.
									","
											Es existiert da augenblicklich so etwas wie
											eine Schlafdefizit-Rivalität. Ganz besonders hier
											in Washington. Wenn man sich zum Frühstück verabreden will
											und fragt: ""Wie wäre es mit 8 Uhr?"", dann bekommt man
											bestimmt die Antwort: ""8 Uhr ist zwar zu spät für mich, aber okay,
											ich schiebe noch eine Runde Tennis und ein paar
											Telefongespräche dazwischen und treffe Sie dann um acht.""
											Und solche Leute glauben dann auch noch,
											sie seien unglaublich fleißig und produktiv.
											In Wahrheit stimmt das aber gar nicht.
											Zur Zeit haben wir nämlich
											sehr intelligente Führungskräfte
											im Geschäfts- und Finanzleben und in der Politik,
											aber sie treffen fürchterliche Entscheidungen.
											Ein hoher IQ garantiert also noch lange
											keine gute Führungskraft,
											denn gute Führungsqualität zeigt sich darin,
											dass man den Eisberg sieht,
											bevor er die Titanic trifft.
											Bei uns gibt es aber viel zu viele Eisberge,
											die unsere Titanics treffen.
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											De facto, eu tenho o pressentimento
											que, se o Lehman Brothers
											fosse Lehman Brothers and Sisters
											talvez ainda andassem por aí.
											(Aplausos)
											Porque enquanto os irmãos estavam ocupados
											a estarem hiperligados 24 horas por dia,
											talvez uma irmã
tivesse noticiado o icebergue,
											porque ela teria acordado depois
de sete horas e meia a oito horas de sono
											e teria sido capaz de ver
o panorama geral.
									","
											De hecho, me da la sensación
											de que si Lehman Brothers (hermanos, NT)
											fuesen Lehman Brothers and Sisters (hermanos y hermanas, NT)
											habrían sobrevivido.
											(Aplausos)
											Mientras los hermanos estaban ocupados,
											híper-conectados 24x7,
											quizá la hermana habría notado el témpano
											porque luego de dormir 7 u 8 horas habría despertado
											en condiciones de ver
											el panorama general.
									","
											Hatta şöyle düşünüyorum,
											Lehman Brothers
											Lehman Brothers and Sisters olsa idi,
											hâlâ ayakta olabilirdi.
											(Alkışlar)
											Belki tüm erkekler
											24/7 hiper bağlantılı ve meşgul oldukları sırada,
											bir kızkardeş
											yedi buçuk veya sekiz saatlik bir uykudan uyandığı
											ve büyük resmi görebildiği için
											buzdağını fark edebilirdi.
									","
											En fait, j'ai le sentiment
											que si Lehman Brothers
											s'appelait 'Lehman Brothers and Sisters',
											ils pourraient encore être là.
											(Applaudissements)
											Alors que tous les frères étaient occupés
											à être hyper-disponibles 24h/24 7j/7,
											peut-être qu'une sœur aurait remarqué l'iceberg,
											parce qu'elle se serait réveillée d'un sommeil de sept ou huit heures
											et aurait été capable d'avoir
											une vision d'ensemble.
									","
											Ich könnte mir sogar vorstellen,
											dass Lehman Brothers,
											wenn es Lehman Brothers and Sisters gewesen wäre,
											heute noch existieren könnte.
											(Applaus)
											Während all die Brüder damit beschäftigt waren,
											24 Stunden am Tag auf Hochtouren zu laufen,
											hätte eine Schwester vielleicht den Eisberg gesichtet.
											Denn sie wäre nach 7 ½ oder 8 Stunden Schlaf aufgewacht
											und hätte den großen Zusammenhang
											erkennen können.
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											Então, ao enfrentarmos
todas as múltiplas crises
											no nosso mundo, neste momento,
											o que é bom para nós a nível pessoal,
											que nos vai trazer mais alegria,
mais gratidão,
											mais eficácia à nossa vida
											e o melhor para as nossas carreiras,
											é também o que é melhor para o mundo.
											Portanto, incito-vos a fecharem os olhos
											e a descobrirem as grandes ideias
											que se encontram dentro de nós,
											a desligar os nossos motores
e descobrir o poder do sono.
									","
											Así a medida que enfrentamos
											las crisis múltiples
											del mundo actual,
											lo que es bueno a nivel personal,
											lo que nos va a dar más alegría, gratitud,
											y eficacia a nuestras vidas,
											lo mejor para nuestras propias carreras,
											es también lo mejor para el mundo.
											Por eso les pido
											que cierren los ojos
											y descubran las grandes ideas
											que se encuentran dentro de nosotros,
											que apaguen los motores y descubran el poder del sueño.
									","
											Şu anda
											dünyamızda
											birden fazla krizle karşı karşıyayız,
											bu kişisel olarak bizim için güzel,
											hayatımıza daha fazla zevk, şükür,
											fayda getirecektir
											ve kariyerimiz için en iyisi,
											dünya için de en iyi şey olacaktır.
											Israrla
											gözlerinizi kapatmanızı
											ve içimizde olan
											büyük fikirleri keşfetmenizi,
											motorlarınızı kapatıp uykunun gücünü keşfetmenizi istiyorum.
									","
											Alors que nous faisons face
											aux multiples crises
											de notre monde en ce moment,
											ce qui est bon pour nous sur le plan personnel,
											ce qui va nous apporter plus de joie, de reconnaissance,
											d'efficacité dans nos vies
											et ce qui est la meilleure des choses pour nos propres carrières,
											est aussi ce qui a de mieux pour le monde.
											Je vous exhorte donc
											à fermer vos yeux
											et à découvrir les grandes idées
											qui reposent en nous,
											à couper vos moteurs et à découvrir le pouvoir du sommeil.
									","
											Was also heutzutage, wo wir
											mit den verschiedensten Krisen
											weltweit konfrontiert werden,
											für uns auf individueller Ebene gut ist,
											und was mehr Freude, Dankbarkeit und
											Erfolg in unser Leben bringt und
											für unsere persönliche Laufbahn am besten ist,
											das ist auch für die gesamte Welt am besten.
											Ich fordere Sie also dringend auf,
											die Augen zu schließen
											und all die großen Ideen zu entdecken,
											die in uns schlummern.
											Stellen Sie Ihren Motor ab und entdecken Sie die Kraft des Schlafs!
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											Obrigada.
									","
											Gracias.
									","
											Teşekkür ederim.
									","
											Merci.
									","
											Vielen Dank.
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
