en,pt,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											Would that be enough? No - for example,
you might have two blue
											and one red connection,
and be stuck in the past forever.
											Would four nodules be enough?
No - there are many arrangements here
											that don’t give a blue or red triangle.

											What about five?
											It turns out there is an arrangement of
connections
											that avoids creating 
a blue or red triangle.
											These smaller triangles don’t count because
they don’t have a nodule at each corner.
									","
											Serão suficientes? Não.
											Por exemplo, podes ter
duas ligações azuis e uma vermelha
											e ficares preso no passado para sempre.
											Quatro nódulos serão suficientes? Não.
											Há aqui muitos arranjos
que não dão um triângulo azul ou vermelho.
											Então, e cinco? 
Ainda tem um arranjo de ligações
											que impede a criação de um triângulo
azul ou vermelho.
											Estes triângulos mais pequenos não contam
porque não têm um nódulo em cada ponta.
									","
											Yeterli olur muydu? Hayır- mesela
iki mavi bir kırmızı bağlantınız olabilir
											ve sonsuza dek
geçmişte sıkışıp kalırsınız.
											Dört taş yeterli olur mu? 
Hayır, bu sefer de kırmızı
											ve mavi üçgen vermeyen 
bir sürü diziliş mevcut.
											Peki ya beş?
											Görünen o ki bu sefer de 
mavi ya da kırmızı üçgen
											vermeyen dizilişler mevcut.
											Şu küçük üçgenler köşelerinde 
taş olmadığı için sayılmıyor.
									","
											Serait-ce assez ?
											Non, par exemple, vous pourriez avoir
deux connexions bleues et une rouge
											et être bloqué
dans le passé pour toujours.
											Quatre nodules suffiraient-ils ?
Non, il y a beaucoup de possibilités
											ne résultant pas
en un triangle bleu ou rouge.
											Qu'en est-il de cinq ?
											Il y a une combinaison
de connexions qui évite
											la création d'un triangle bleu ou rouge.
											Ces plus petits triangles ne comptent pas,
ils n'ont pas de nodule à chaque sommet.
									","
											¿Será suficiente? No, por ejemplo,
puedes tener dos azules
											y una conexión roja, y quedarte 
en el pasado para siempre.
											¿Serán suficiente cuatro nódulos?
No, hay muchas estructuras aquí
											que no dan un triángulo azul o rojo.
											¿Y cinco? Resulta que hay
											un arreglo de conexiones que evita
crear un triángulo azul o rojo.
											Estos triángulos 
más pequeños no cuentan
											porque no tienen 
un nódulo en cada esquina
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											However, six nodules will always create a
blue triangle or a red triangle.
											Here’s how we can prove that without
sorting through every possible case.
									","
											Mas seis nódulos criarão sempre
											um triângulo azul
ou um triângulo vermelho.
											Eis como podemos provar isso
sem fazer todas as combinações possíveis.
									","
											Lakin, altı taş her zaman mavi 
ya da kırmızı bir üçgen oluşturuyor.
											Muhtemel her olasılığı denemeden 
bunu şöyle kanıtlayabiliriz.
									","
											Cependant, six nodules créeront toujours
un triangle bleu ou rouge.
											Voici comment nous pouvons le prouver
sans passer chaque cas en revue.
									","
											Sin embargo, seis nódulos siempre 
crearán un triángulo azul o uno rojo.
											Así es como podemos probarlo
sin repasar todos los casos posibles.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											Imagine activating the sixth nodule,

											and consider how it might connect
to the other five.
											It could do so in one of six ways:
											with five red connections, five blue
connections, or some mix of red and blue.
											Notice that every possibility has at least
three connections of the same color
											coming from this nodule.
									","
											Imagina que ativas o sexto nódulo
e repara como ele se pode ligar
											aos outros cinco.
											Pode fazê-lo de seis modos:
											com cinco ligações vermelhas,
com cinco ligações azuis
											ou com várias misturas
de vermelhos e azuis.
											Repara que cada possibilidade
tem, pelo menos,
											três ligações da mesma cor
a sair deste nódulo.
									","
											Altı taşı da etkinleştirdiğini ve diğer 
beşiyle nasıl bağlandığını hayal edin.
											Altı yoldan biriyle yapabilir:
											Beş kırmızı, beş mavi bağlantı ya da
kırmızı ve mavinin birkaç kombinasyonu.
											Bu taştan gelen her olasılığın 
aynı renkten en az üç tane
											bağlantısı olduğunu unutmayın.
									","
											Imaginez activer le sixième nodule
											et considérez comment il pourrait
se connecter aux cinq autres.
											Il y a six possibilités :
											cinq connexions rouges, cinq bleues
ou un mélange de bleues et de rouges.
											Chaque possibilité a au moins
trois connexions de la même couleur
											issues de ce nodule.
									","
											Imagina activar el sexto nódulo,
y piensa cómo se conectaría
											con los otros cinco; puedes hacerlo 
de una de seis maneras:
											con 5 conexiones rojas, 5 azules, 
o una mezcla de rojo y azul.
											Nota que cada posibilidad 
tiene al menos
											tres conexiones del mismo color
proveniente de este nódulo.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											Let’s look at just the nodules
on the other end
											of those same three color connections.

											If the connections were blue,
											then any additional blue connection between
those three would give us a blue triangle.
											So the only way we could get in trouble
											is if all the connections
between them were red.
											But those three red connections
would give us a red triangle.
											No matter what happens,
we’ll get a red or a blue triangle,
											and open our doorway. 

											On the other hand,
											if the original three connections 
were all red instead of blue,
											the same argument still works, 
with all the colors flipped.
											In other words, no matter how the
connections are colored,
											six nodules will always create a red or 
blue triangle and a doorway leading home.
									","
											Olhemos apenas para os nódulos
											do outro lado
destas três ligações coloridas.
											Se as ligações forem azuis,
											qualquer ligação azul adicional
entre esses essas três
											dar-te-á um triângulo azul.
											Portanto, a única forma
de teres problemas
											é se todas as ligações
entre eles forem vermelhas.
											Mas aquelas três ligações vermelhas
darão um triângulo vermelho.
											Aconteça o que acontecer,
teremos um triângulo vermelho ou azul
											e a porta abrir-se-á.
											E, se as três ligações iniciais
forem todas vermelhas, em vez de azul,
											o mesmo raciocínio mantém-se,
											com todas as cores ao contrário.
											Por outras palavras, sejam quais forem
as cores das ligações,
											os seis nódulos criarão sempre
um triângulo vermelho ou azul
											e um caminho para regressares a casa.
									","
											Sadece üç aynı renkteki 
taş bağlantılarının
											diğer uçlarındaki bağlantılara bakalım.
											Eğer bağlantılar mavi olursa
											üçünün arasındaki herhangi bir 
mavi bağlantı, bize mavi bir üçgen verir.
											Başımıza dert açacak tek dizilim,
											tüm bağlantılar 
kırmızı olursa gerçekleşir.
											Ama bu üç kırmızı bağlantı bize
kırmızı bir üçgen verebilir.
											Ne olursa olsun, mavi ya da kırmızı 
bir üçgen oluşturup
											kapıyı açabiliriz.
											Diğer yandan,
											orijinal üç bağlantı 
mavi yerine kırmızı olsaydı
											renklerin yeri değişerek 
sav yine aynı sonucu verirdi.
											Başka bir deyişle bağlantıların 
rengi ne olursa olsun altı taş,
											eve giden bir geçit oluşturacak 
kırmızı ya da mavi kapıyı hep açıyor.
									","
											Considérons uniquement
les nodules aux extrémités
											de ces trois connexions
de la même couleur.
											Si les connexions étaient bleues,
											toute autre connexion bleue
résulterait en un triangle.
											Le seul problème serait
											si toutes les connexions
entre eux étaient rouges.
											Mais ces trois connexions rouges
résulteraient en un triangle rouge.
											Peu importe ce qu'il se passe,
nous aurons un triangle rouge ou bleu
											et ouvrirons une issue.
											D'un autre côté,
											si les trois connexions initiales
étaient rouges et non bleues,
											le même argument fonctionne
avec les couleurs inversées.
											Autrement dit, peu importe
la couleur des connexions,
											six nodules créeront toujours un triangle
rouge ou bleu et une issue pour rentrer.
									","
											Veamos los nódulos del otro extremo

											de esas mismas 
tres conexiones de colores.
											Si las conexiones fueran azules, 

											cualquier conexión azul adicional
entre esas tres da un triángulo azul.
											Así, la única manera 
de meternos en problemas
											sería si todas las conexiones
entre ellas fueran rojas.
											Pero esas tres conexiones rojas
nos darían un triángulo rojo.
											No importa qué suceda,
obtendríamos un triángulo rojo o azul
											y abriríamos el portal.
											Por otro lado, si las tres conexiones
											originales fueran rojas en vez de azules,
funciona el mismo argumento
											con los colores volteados.
											En otras palabras, no importa
											de qué color sean las conexiones,
seis nódulos siempre crearán
											un triángulo rojo o azul
y un portal que nos lleve a casa.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											So you grab six nodules and jump through
the portal.
											You were hoping your internship would
give you valuable life experience.
											Turns out, that didn’t take much time.
									","
											Por isso, agarras em seis nódulos
e saltas o portal.
											Esperavas que o teu estágio
fosse uma valiosa experiência de vida.
											Acontece que não foi preciso muito tempo.
									","
											Öyleyse altı tane 
taş kapıp geçitten geçin.
											Stajının size çok değerli 
hayat tecrübesi vermesini umuyordunuz.
											Görünen o ki bu çok vaktinizi almadı.
									","
											Vous attrapez six nodules
et sautez à travers le portail.
											Vous espériez que votre stage
vous offrirait une expérience utile.
											Il s'avère qu'il n'aura pas
fallu attendre longtemps.
									","
											Tomas seis nódulos 
y atraviesas el portal.
											Esperabas que tu pasantía 
te diera experiencia de vida valiosa.
											Resulta que no llevó mucho tiempo.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
