en,tr,pt,title,speaker,duration,tags
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											How can you divide the antidote 
into perfect fifths,
											cure the secret werewolf, 
and save everyone?
									","
											Panzehiri mükemmel beş parçaya bölüp
											gizli kurt adamı tedavi edip
herkesi nasıl kurtaracaksınız?
									","
											Como dividir o antídoto
em cinco partes exatamente iguais
											para curar o lobisomem secreto
e salvar toda a gente?
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											Pause the video now if you want
to figure it out for yourself.
									","
											Eğer cevabı kendiniz bulmak istiyorsanız
videoyu durdurun.
									","
											[Suspende aqui o vídeo,
se quiseres resolver sozinho.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											Answer in 3
									","
											3 saniye
									","
											[Resposta em: 3
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											Answer in 2
									","
											2 saniye
									","
											[Resposta em: 2
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											Answer in 1
									","
											1 saniye!
									","
											[Resposta em: 1]
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											When it comes to puzzles that
involve cutting and rearranging,
											it’s often helpful to actually 
take a piece of paper
											and try cutting it up to see what
you can get.
											If we cut BF and DH we’d get fourths,
but we need fifths.
											Maybe there’s a way to shave a bit off
of a quarter to get exactly one fifth.
											Cutting BE looks good at first, 
but that last cut
											takes a off a quarter of a quarter,
											leaving us with a portion of 3/16: 
just smaller than a fifth,
											and not enough to cure a werewolf.
									","
											Kesme ve yeniden düzenleme
söz konusu olan bulmacalarda
											en iyisi bir parça kağıt alıp
											neler ortaya çıkacak görmek için
kesmeye çalışmak yardımcı olur.
											BF ve DH'yi kesersek dört parça olur
ama bize beş parça lazım.
											Belki de bu dört parçayı kırparak
beşinci parçayı oluşturabiliriz.
											BE'yi kesmek ilk başta
iyi bir fikir gibi görünüyor
											ama son kesik,
çeyreğin çeyreğini alıyor
											ve bize beşinci parçadan ufak olan
3/16'lık bir porsiyon bırakıyor
											ve bu tedavi için yeterli değil.
									","
											Quando se trata de enigmas
que envolvem cortes e rearranjos,
											é útil agarrar num pedaço de papel
											e tentar cortá-lo, para ver
o que é que obtemos.
											Se cortarmos BF e DH, obtemos
quatro pedaços, mas precisamos de cinco.
											Talvez haja um modo de roubar
um pouco a um quarto,
											para obter exatamente um quinto.
											Cortar BE parece boa ideia a princípio,
mas esse último corte
											retira um quarto a um quarto,
											deixando-nos com um pedaço com 3/16:
mais pequeno do que um quinto
											que não chega para curar um lobisomem.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											What if we started with BE instead?
											That would also give us a quarter.
											And is there a way to shave
just a bit more off?
											Both DG and CH look promising.
											If we make one more cut, from A to F,
											we may start to notice something.
									","
											Peki BE ile başlarsak nasıl olur?
											O da bize bir çeyrek verir.
											Peki biraz daha kırpmanın
bir yolu var mı?
											DG de CH de ümit verici görünüyor.
											Eğer A'dan F'ye bir kesik daha atarsak
											bir şeyi fark etmeye başlarız.
									","
											E se começarmos por BE primeiro?
											Isso também nos daria um quarto.
											E haverá forma de lhe roubar
um pouco mais?
											Tanto DG como CH parecem promissores.
											Se fizermos mais um corte,
de A a F,
											talvez comecemos a reparar
em qualquer coisa.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											With these four cuts—from B to E, 
D to G, F to A,
											and H to C—we’ve got four triangles
											and a square in the middle.
											But the pieces that make 
each triangle can also be
											rearranged to make a square
identical to the middle one.
											This means that we’ve split
the antidote into perfect fifths!
									","
											B'den E'ye, D'den G'ye, F'den A'ya
ve H'den C'ye olan dört kesikle
											dört tane üçgenimiz oluyor
											ve ortada da bir tane kare.
											Ama bu üçgenleri yapan her bir parça
											ortadaki karenin aynısından
yapmak için yeniden düzenlenebilir.
											Bu demek oluyor ki panzehiri
beş mükemmel parçaya böldük!
									","
											Com estes quatro cortes
											— de B a E, de D a G,
de F a A, e de H a C —
											ficamos com quatro triângulos
e um quadrado no meio.
											Mas os pedaços de cada triângulo
também podem ser rearranjados
											para formar um quadrado
idêntico ao do meio.
											Isso significa que dividimos
o antídoto em cinco partes iguais!
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											What’s interesting about this 
sort of problem
											is that while it’s possible to solve 
it by starting from the geometry,
											it’s actually easier to start 
experimenting and see where that gets you.
											That wouldn’t be as viable if the square 
had, say, 24 cut points,
											but with just 8 there
are only so many reasonable options.
									","
											Bu tür bulmacalarla ilgili ilginç şey
											bulmacayı geometriden başlayarak
çözmek mümkünken,
											baştan deneyip neler olacağını
görmek daha kolay olması.
											Eğer karenin mesela 24 kesme noktası
olsaydı bu uygulanabilir olmazdı
											ama sadece 8 nokta ile birçok
mantıklı seçim var.
									","
											O interessante neste tipo de problemas
											é que, enquanto é possível resolvê-lo
começando pela geometria,
											é mais fácil começar a experimentar
e ver o que é que obtemos.
											Isto não seria viável se o quadrado
tivesse, por exemplo, 24 pontos de corte
											mas, aqui com oito apenas,
há muitas opções possíveis.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											You secretly dose each of the townspeople
											as the full moon emerges in the sky.
											And just as you do, 
a terrible transformation begins.
											Then, just as suddenly, it reverses.
											Your measurements were perfect, 

											and the people and animals of the 
town can rest a little easier.
									","
											Dolunay gökyüzünde yükselirken
											her bir panzehiri verdiniz.
											Tam da yaptıktan sonra,
korkunç bir değişim başladı.
											Sonra aniden, her şey tersine döndü.
											Ölçümleriniz mükemmeldi
											ve kasabanızın insanları 
ve hayvanları birazcık rahatlayabilir.
									","
											Às escondidas, colocas uma dose
em cada prato dos convidados,
											quando a lua surge no céu.
											Nesse momento, começa
uma transformação terrível.
											Depois, subitamente, volta ao normal.
											As tuas medições foram perfeitas.
											e as pessoas e os animais da cidade
podem descansar melhor.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
