en,es,tr,pt,fr,title,speaker,duration,tags
"
											One: expand your search.
											If we only look for talent
in the same places we always do —
											gifted child programs, Ivy League schools,
											prestigious organizations —
											we're going to get
the same results we always have.
											Baseball was transformed
when the cash-strapped Oakland Athletics
											started recruiting players
who didn't score highly
											on traditionally valued metrics,
like runs batted in,
											but who had the ability
to help the team score points
											and win games.
											This idea is taking hold
outside of sports.
											The Head of Design
and Research at Pinterest
											told me that they've built
one of the most diverse
											and high-performing teams
in Silicon Valley
											because they believe
that no one type of person
											holds a monopoly on talent.
											They've worked hard
to look beyond major tech hubs
											and focus on designers' portfolios,
											not their pedigrees.
									","
											Uno: expande tu búsqueda.
											Si solo buscamos talento
en los mismos lugares de siempre:
											escuelas para genios,
universidades famosas,
											organizaciones de prestigio,
											vamos a obtener los resultados de siempre.
											El béisbol cambió cuando los
Atléticos de Oakland, cortos de dinero,
											empezaron a reclutar jugadores
											sin altos puntajes por ejemplo
de carreras al bate
											pero que tenían la capacidad
de ayudar a su equipo
											a anotar puntos y ganar.
											Esta idea está asentándose
fuera del deporte.
											Un ejecutivo de Pinterest me dijo
											que han construido uno
de los equipos más diversos
											y productivos de Silicon Valley
											porque piensan que
no solo un tipo de persona
											tiene un monopolio sobre el talento.
											Se fuerzan a ver más allá
de los lugares tradicionales
											y se enfocan en el portfolio del diseñador
											no en su pedigrí.
									","
											Bir: arayışınızı genişletin.
											Eğer yeteneği hep aynı yerde arıyorsak —
											yetenekli çocuklar programları,
en ünlü okullar,
											prestijli organizasyonlar gibi —
											hep aynı sonucu alırız.
											İflas eden Oakland Athletics
sayımlarda yüksek skor edinememiş
											oyuncuları aldığında
Beyzbol dönüşüm geçirdi,
											sayı yapan koşu hamleleri
											takımın yüksek skor almasına
											ve kazanmasına yardım etti.
											Bu fikir spor dışında da
kendini gösteriyor.
											Pinterest'in Tasarım 
ve Araştırma yetkilisi
											Silikon Vadisi'nin en çeşitli
ve yüksek performanslı
											ekiplerden birini
kurduklarını söyledi
											çünkü onlara göre
hiçbir insan
											yetenekte tekel değildir.
											Temel teknoloji merkezlerinin
ötesine bakmak için uğraştılar
											ve tasarımcıların portfolyosuna
odaklandılar,
											aile ağacına değil.
									","
											Primeira: expandam a vossa pesquisa.
											Se só procurarmos talento
nos mesmos lugares de sempre
											— programas para crianças dotadas,
faculdades da Ivy League,
											empresas de prestígio —
											teremos os mesmos resultados de sempre.
											O basebol transformou-se quando
os Oakland Athletics, sem dinheiro,
											recrutaram jogadores
não muito bem pontuados
											em métricas tradicionais,
como corridas de impulso,
											mas que tinham a capacidade
de ajudar a equipa a marcar pontos
											e a ganhar jogos.
											Esta ideia está a ganhar valor
fora do desporto.
											O Diretor de ""Design"" e Pesquisa
na Pinterest
											disse-me que construíram
uma das equipas mais diversas
											e com melhor desempenho
em Silicon Valley,
											porque acreditam 
que nenhum tipo de pessoa
											detém o monopólio do talento.
											Trabalharam muito para ver
além dos núcleos tecnológicos
											e focar-se nos portfólios dos ""designers"",
											e não no seu ""pedigree"".
									","
											Un : étendez votre recherche.
											En ne cherchant du talent
que dans les endroits habituels —
											les programmes pour surdoués,
les grandes écoles,
											les organisations prestigieuses —
											nous allons obtenir
les mêmes résultats que d'habitude.
											Le baseball a été transformé quand
les Athletics d'Oakland, à court d'argent,
											ont recruté des joueurs
n'ayant pas de scores élevés
											sur les métriques traditionnelles,
comme les points,
											mais qui avaient la capacité
d'aider l'équipe à marquer des points
											et faire gagner des matchs.
											Cette idée se développe
en dehors du sport.
											Le chef du design
et de la recherche de Pinterest
											m'a dit qu'ils avaient créé
l'une des équipes
											les plus diverses et performantes
de Silicon Valley
											car ils croyaient
qu'aucun type de personne
											n'avait le monopole du talent.
											Ils ont cherché au-delà
des centres technologiques majeurs
											et se sont concentrés sur les portfolios
											et non les pedigrees des designers.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											Two: hire for performance.
											Inspired by my own job experience,
											I cofounded a hiring platform
called Headlight,
											which gives candidates
an opportunity to shine.
											Just as teams have tryouts
and plays have auditions,
											candidates should be asked
to demonstrate their skills
											before they're hired.
											Our clients are benefiting
from 85 years of employment research,
											which shows that work samples
											are one of the best predictors
of success on the job.
											If you're hiring a data analyst,
											give them a spreadsheet of historical data
and ask them for their key insights.
											If you're hiring a marketing manager,
											have them plan a launch campaign
for a new product.
											And if you're a candidate,
don't wait for an employer to ask.
											Seek out ways to showcase
your unique skills and abilities
											outside of just the standard
resume and cover letter.
									","
											Dos: contrata por desempeño.
											Inspirado por mi propia
experiencia laboral,
											cofundé una plataforma de contratación
llamada Headlight,
											que les da a los candidatos
una oportunidad de brillar.
											Tal como las obras de teatro
tienen ensayos,
											a los candidatos se les pide
que demuestren su talento
											antes de ser contratados.
											El cliente se beneficia de 85 años
de investigación sobre contratación,
											que señalan a las pruebas
											como uno de los mejores
predictores de éxito laboral.
											¿Quieres a un analista de datos?
											Dale una planilla con datos históricos
y pregúntale qué puede determinar.
											¿Buscas a un jefe de marketing?
											Hazlo planear una campaña de lanzamiento.
											Y si eres un candidato, no esperes 
que un empleador te lo pida.
											Busca una forma de demostrar
tus capacidades y talentos
											más allá de tu currículo
y carta de presentación.
									","
											İki: Performans için iş alımı yapın.
											Kendi iş deneyimimden yola çıkarak
											Headlight adında 
bir iş alım platformu kurdum,
											adayların kendini göstermesine
fırsat tanıyor.
											Tıpkı takımların elemeleri,
oyunculuğun denemeleri gibi
											adaylardan işe alınmadan önce
											yetilerini göstermeleri isteniyor.
											Müşterilerimiz 85 yıllık 
iş araştırmasından fayda sağlıyor,
											iş örneklerinin
											işteki başarıyı belirleyen
en önemli etkenlerden olduğu görülüyor.
											Veri analizcisi işe alacaksanız
											adaya verilerle dolu bir tablo verin 
ve önemli kısımlarını sorun.
											Pazarlama yetkilisi işe alacaksanız
											yeni bir ürün için
açılışa özel kampanya hazırlatın.
											Aday sizseniz
işverenin istemesini beklemeyin.
											Standart özgeçmiş ve niyet mektubunuzdaki
											eşsiz yeteneklerinizi
gösterebileceğiniz yollar arayın.
									","
											Segunda ideia: contratar
com base no desempenho.
											Inspirado pela minha
experiência de trabalho,
											ajudei a fundar a plataforma
de contratação chamada Headlight,
											que dá aos candidatos
uma oportunidade para brilhar.
											Assim como as equipas têm testes
e o teatro tem audições,
											pede-se aos candidatos
que mostrem as suas capacidades
											antes de serem contratados.
											Os nossos clientes beneficiam
de 85 anos de pesquisa de emprego
											o que prova que as amostras de trabalho
											são um dos melhores indicadores
de sucesso no emprego.
											Se contratarem um analista de dados
											deem-lhe uma folha de dados históricos
e peçam-lhe a sua visão chave.
											Se contratarem um gestor de ""marketing""
											façam com que ele planeie
o lançamento de um novo produto.
											Se forem candidatos,
não esperem que vos peçam.
											Procurem maneiras de demonstrar
as vossas aptidões e capacidades únicas
											para lá do currículo
e da carta de apresentação.
									","
											Deux : embauchez pour la performance.
											Inspiré de ma propre
expérience professionnelle,
											j'ai cofondé une plateforme
de recrutement, Headlight,
											qui donne aux candidats
l'opportunité de briller.
											Comme les équipes ont des essais
et les pièces des auditions,
											les candidats devraient
démontrer leurs compétences
											avant d'être embauchés.
											Nos clients bénéficient
de 85 ans de recherche en recrutement,
											qui montre que les exercices
											sont l'un des meilleurs indicateurs
de réussite au travail.
											Pour un analyste de données,
											donnez leur un tableau avec d'anciennes
données et demandez-lui les idées clés.
											Pour un responsable en marketing,
											il planifie une campagne
de lancement d'un produit.
											Si vous êtes un candidat,
n'attendez pas que l'employeur demande.
											Cherchez des moyens de mettre en avant
vos compétences et capacités uniques
											en dehors du CV et de la lettre
de motivation standards.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											Three: get the bigger picture.
											I've heard about recruiters who are quick
to label a candidate a job-hopper
											based on a single
short stint on their resume;
											read about professors who are more likely
to ignore identical messages from students
											because their name
was black or Asian instead of white.
									","
											Tres: ten una visión general.
											He escuchado de reclutadores que califican
a alguien de poco comprometido
											por tan solo un trabajo 
donde estuvo poco tiempo;
											he leído sobre profesores que ignoran
aplicaciones idénticas de estudiantes
											porque sus nombres son asiáticos
o afroestadounidenses en vez de blancos.
									","
											Üç: Daha önemli olana odaklanın.
											Özgeçmişlerindeki kısa süreli
tek bir iş yüzünden İK çalışanlarının
											adayları sürekli iş değiştiriyor diye 
nitelediğine rastladım;
											bazı okutmanların 
öğrencilerden gelen aynı mesajları
											siyahi veya asyalı isimleri olduğu için
görmezden geldiğini okudum.
									","
											Terceira ideia: tenham uma visão geral.
											Sei de recrutadores que rotulam candidatos
de estar sempre a mudar de emprego
											com base num único emprego
de tempo curto no currículo.
											Li sobre professores que provavelmente
ignoram mensagens similares de alunos
											porque o nome deles é africano
ou asiático, e não de um branco.
									","
											Trois : cherchez la vision d'ensemble.
											Certains recruteurs classifient vite
un candidat comme instable
											du fait d'une mission courte sur son CV ;
											certains professeurs ont tendance
d'ignorer un même message d'un étudiant
											car son nom trahissait une origine noire
ou asiatique plutôt que blanche.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											I was almost put on
a special needs track as a child.
											A month into kindergarten,
											my teacher wrote a page-long memo
											noting that I was impulsive,
											had a short attention span,
											and despite my wonderful curiosity,
											I was exhausting to work with.
									","
											Yo casi termino en un lugar
para niños especiales.
											A un mes de entrar a kindergarten,
											mi maestra escribió una larga nota
											que decía que era impulsivo,
											tenía un período de atención corto,
											y que a pesar de
mi maravillosa curiosidad,
											era cansador trabajar conmigo.
									","
											Çocukken neredeyse
özel ihtiyaçlı sınıfına alınacaktım.
											Ana sınıfının ilk ayında öğretmenim,
											içgüdüsel hareket ettiğime,
											dikkatimin kısa süreli olduğuna,
											inanılmaz merakıma rağmen
											benimle ilgilenmenin 
çok yorucu olduğuna dair
											bir sayfalık rapor yazdı.
									","
											Em criança, fiquei quase
em educação especial.
											Um mês após o início da pré-escola
											a professora escreveu um memorando
											a notificar que eu era impulsivo,
											tinha uma fraca capacidade de atenção
											e que, apesar da minha
grande curiosidade,
											era exaustivo trabalhar comigo.
									","
											Enfant, j'ai presque été qualifié
comme ayant des besoins spéciaux.
											Après un mois de maternelle,
											mon professeur a écrit un mot
											notant que j'étais impulsif,
											avait une capacité d'attention limitée
											et malgré ma curiosité merveilleuse,
											il était épuisant de travailler avec moi.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
