fr,en,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Merci. Bon, l'extrait suivant est une tentative d'exploration de l'espace.
											Voyez-vous, je crois que Richard a fait un commentaire sur les gens qui sont en opposition à quelque chose.
											Eh bien, beaucoup de gens pensent que les jongleurs combattent la gravité ou quelque chose comme ça.
											En fait, grâce à mon enfance et au golf et tout ça,
											je crois que c'est un processus d'union avec les forces.
											Et donc ce que je voudrais faire, c'est essayer de comprendre
											comment s'unir à l'espace via la technique.
											Donc, jongler avec la gravité - vers le haut, vers le bas.
											Si vous comprenez ce que sont vraiment le haut et le bas,
											il faut un ensemble complexe de compétences physiques
											pour pouvoir lancer une balle vers le bas ou le haut,
											mais ensuite vous ajoutez le déplacement latéral.
									","
											Thanks. Now, this next section was an attempt to explore space.
											You see, I think Richard said something about people that are against something.
											Well, a lot of people think jugglers defy gravity or do stuff.
											Well, I kind of, from my childhood and golf and all that,
											it's a process of joining with forces.
											And so what I'd like to do is try to figure out
											how to join with the space through the technique.
											So juggling gravity — up, down.
											If you figure out what up and down really are,
											it's a complex physical set of skills
											to be able to throw a ball down and up and everything,
											but then you add in sideways.
									","
											Teşekkürler. şimdiki bölüm alanı keşfetmeye yeltenmek.
											Sanırım Richard birşeylere karşı olan insanlarla ilgili birşeyler demişti.
											Pekçok insan jonglörlerin yer çekimini hiçe saydığını sanır.
											Çocukluğum, golf, ve tüm bunlar,
											güçlerle bir olma sürecidir.
											Yapmak istediğim, tekniği kullanarak
											alanla bir olmayı bulmak.
											Yer çekimini atıp tutmak - aşağı yukarı.
											Yukarı ve aşağının gerçekten ne olduklarını düşünürseniz,
											bir dizi zorlu fiziksel hünerler
											bir topu aşağı ve yukarı atabilmek,
											ve buna yanları eklemek.
									","
											Danke. Nun, diese nächste Nummer war ein Versuch, den Raum zu erkunden.
											Sie sehen, Ich glaube Richard sagte etwas über Menschen, die gegen etwas sind.
											Na ja, viele Leute denken, Jongleure trotzen der Graviation oder tun komisches Zeug.
											Wegen meiner Kindheit, Golf und all den Dingen mach ich es irgendwie,
											es ist ein Prozess, mit Kräften zusammen zu arbeiten.
											Ich möchte also zu verstehen versuchen
											wie ich durch Technik mit dem Raum eins werde.
											Also die Gravitation beherrschen - rauf, runter.
											Wenn Sie begreifen, was oben und unten wirklich bedeutet,
											es ist ein physikalisch komplexes Set von Fertigkeiten,
											fähig zu sein, einen Ball hoch und nach unten zu werfen und all das.
											aber dann nehmen Sie noch die Seitwärtsbewegng dazu.
									","
											Gracias. La próxima sección era un intento de explorar el espacio.
											Ya ven, pienso que Richard dijo algo de la gente que está en contra de algo.
											Mucha gente piensa que los malabaristas desafiamos la gravedad.
											Bien, desde mi niñez, el golf y todo eso
											es un proceso de unirse a las fuerzas.
											Por eso me gusta intentar dar con la forma de
											unirse con el espacio a través de la técnica.
											Malabares con gravedad... arriba, abajo.
											Si uno descubre qué es realmente arriba y abajo
											es un complejo conjunto físico de habilidades
											el poder lanzar una pelota hacia abajo y arriba, etc.
											luego se le agrega a los lados.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Donc, c'est un peu comme ça que je vois les choses : quand on apprend à jongler
											ce que l'on apprend, c'est à ressentir avec ses yeux et à regarder avec ses mains
											parce qu'on ne regarde pas ses mains,
											on regarde où sont les balles ou bien on regarde son public.
											Donc l'extrait suivant est vraiment une façon d'appréhender l'espace et le rythme
											avec une référence évidente aux pieds.
											Mais aussi le temps : où se trouvent les pieds, où se trouvent les balles.
									","
											Now, I look at it somewhat as a way — when you learn juggling
											what you learn is how to feel with your eyes, and see with your hands
											because you're not looking at your hands,
											you're looking at where the balls are or you're looking at the audience.
											So this next part is really a way of understanding space and rhythm,
											with the obvious reference to the feet,
											but it's also time — where the feet were, where the balls were.
									","
											Şimdi, buna bir yol olarak bakıyorum - jonglörlüğü öğrenirken
											öğrendiğiniz şey gözlerinizle hissetmek ve ellerinizle görmektir
											çünkü ellerinize bakmıyorsunuz,
											topların nerde olduğuna bakıyorsunuz veya izleyiciye bakıyorsunuz.
											Şimdiki bölüm alan ve ritmi anlamanın gerçekten bir yolunu gösterecek,
											ayaklara gönderme yaparak tabi,
											ancak aynı zamanda — ayaklar nerdeydi, toplar nerdeydi.
									","
											Jetzt, wenn man lernt, zu jonglieren, ist das ein ungefähr ein Weg
											bei dem Sie lernen, mit Ihren Augen zu fühlen, und mit Ihren Händen zu sehen,
											denn Sie schauen nicht auf Ihre Hände,
											Sie schauen, wo die Bälle sind oder ins Publikum.
											Dieser nächste Teil ist eigentlich eine Art, Raum und Rhythmus zu verstehen.
											mit dem offensichtlichen Bezug zu den Beinen.
											Aber es geht auch um Zeit, wo die Füsse waren, wo die Bälle waren.
									","
											Como yo lo veo, es una forma... aprender malabares...
											se aprende a sentir con los ojos y ver con las manos
											porque uno no está mirando las manos
											uno está mirando dónde están las pelotas, dónde esta la audiencia.
											Lo que sigue es realmente una manera de comprender el espacio y el ritmo
											con referencia obvia a los pies.
											Pero también es tiempo. ¿Dónde estaban los pies, dónde estaban las pelotas?
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Merci. Donc musique visuelle, rythme et complexité.
											Maintenant je vais augmenter la complexité.
											Jongler avec trois balles est simple et normal.
									","
											Thanks. So, visual music: rhythm and complexity.
											I'm going to build towards complexity now.
											Juggling three balls is simple and normal.
									","
											Teşekkürler. Evet, görsel müzik: ritim ve karmaşıklık.
											Şimdi işi daha da karmaşıklaştıracağım.
											Üç topla jonglörlük kolay ve normal
									","
											Danke. Also visuelle Musik, Rhythmus und Komplexität.
											Ich baue jetzt Richtung Komplexität aus.
											Drei Bälle jonglieren ist einfach und normal.
									","
											Gracias. Música visual, ritmo y complejidad.
											Ahora pasaré a la complejidad.
											Los malabares con tres pelotas son simples, normales.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Enfin... - Pardon.
									","
											Excuse me.
									","
											Özür dilerim.
									","
											Entschuldigen Sie mich.
									","
											Discúlpenme.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											...pour des jongleurs, d'accord ? Et rappelez-vous, vous êtes dans un contexte différent,
											vous avez affaire à toute une culture ici.
									","
											We're jugglers, OK. And remember, you're transposing,
											you're getting into a subculture here.
									","
											Biz jonglörüz. Tamam. ve unutmayın ki farklı bir alana geçiyorsunuz,
											burada bir alt kültüre giriyoruz.
									","
											Wir sind Gaukler. Ok. Und denken Sie daran, Sie transponieren.
											Sie geraten hier in eine Subkultur.
									","
											Somos malabaristas, bueno. Y recuerden: se están transformando,
											están entrando en una subcultura.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Et quand on jongle, les balles se croisent, et tout ça.
											OK, si vous les maintenez dans leur chemin assigné vous obtenez des lignes parallèles
											à des hauteurs différentes, mais tout de même si possible au même rythme.
											Ensuite vous pouvez modifier le rythme - Bien, Michael.
											Vous pouvez changer le rythme, si vous n'avez pas la lumière dans les yeux...
											OK ? Changez le rythme, pour le rendre régulier
											Ou vous pouvez revenir en arrière et changer la hauteur. Donc, la technique.
											Eh bien, vous êtes limités si vous ne pouvez que les faire monter et descendre ainsi.
											Donc, vous devez rechercher l'espace, en commençant par le bas.
											OK, maintenant vous devez joindre les deux
											parce qu'alors vous avez toute la palette de l'espace à votre disposition.
											Et là vous devenez fou.
									","
											And juggling — the balls cross and all that.
											OK, if you keep them in their assigned paths you get parallel lines
											of different heights, but then hopefully even rhythm.
											And you can change the rhythm — good, Michael.
											You can change the rhythm, if you get out of the lights.
											OK? Change the rhythm, so it's even.
											Or you can go back and change the height. Now, skill.
											But you're boxed in, if you can only do it up and down that way.
											So, you've got to go after the space down there.
											OK, then you've got to combine them,
											because then you have the whole spatial palette in front of you.
											And then you get crazy.
									","
											Jonglörlük — toplar çapraz geçer falan
											Tamam, onları belli bir yolda tutarsanız farklı yükekliklerde paralel çizgiler elde edersiniz
											fakat buna ek olarak ritim de elde edersiniz.
											İsterseniz ritmi değiştirebilirsiniz — aferin, Michael.
											Gözünüze giren ışıktan kaçınabilirseniz, ritmi değiştirebilirsiniz.
											Tamam? ritmi değiştirelim, ki düzenli olsun.
											Veya geri gidebilir ve yükseklikliği değiştirebilirsiniz. Şimdi, hüner.
											Eğer bunu sadece yukarı ve aşağı yaparsanız, sınırlı kalırsınız.
											Yani, aşağıdan alan yaratmanız gerek.
											Sonra bunları birleştirmeniz gerek,
											çünkü önünüzde tam bir alan dokusu var.
											ve sonra çıldırırsınız.
									","
											Und Bälle kreuzweise jonglieren und all das.
											OK, wenn Sie sie in ihren zugeteilten Bahnen lassen, erhalten Sie parallele Linien.
											verschiedene Höhen, aber hoffentlich in regelmässigem Rhythmus.
											Und Sie können den Rhythmus verändern - guter Michael.
											Sie können den Rhythmus ändern wenn Sie ausserhalb des Rampenlichts sind.
											OK? Rhythmusänderung, damit es regelmässig ist.
											Oder Sie können zurückgehen und die Höhe ändern. Jetzt. Geschicklichkeit.
											Aber Sie sind eingeschränkt, wenn Sie es nur so rauf und runter können.
											Sie müssen sich also um den Raum dort unten bemühen.
											OK, jetzt müssen Sie sie verbinden.
											weil Sie so die ganze räumliche Palette vor sich haben.
											Und dann spielen Sie verrückt..
									","
											Haciendo malabares con pelotas cruzadas y todo eso.
											Bien, si las mantienen en su recorrido asignado, tienen líneas paralelas,
											distintas alturas y luego, con suerte, incluso ritmo.
											Y pueden cambiar el ritmo... bueno Michael.
											Pueden cambiar el ritmo si se salen de las luces.
											¿Bien? Cambien el ritmo así es constante.
											O volver atrás y cambiar la altura. Ahora, la habilidad.
											Pero están limitados si sólo pueden ir arriba y abajo así.
											Por eso tienen que explorar el espacio inferior.
											Bien, tienen que combinarlos
											porque entonces tienen la paleta espacial completa ante ustedes.
											Y luego se vuelven locos.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Là, je vais vraiment vous demander d'essayer quelque chose
											donc accordez-moi votre attention. Complexité.
											Si vous passez suffisamment de temps à faire quelque chose, le temps ralentit
											ou votre technique augmente, de sorte que votre perception change.
											Acquérir une aptitude, c'est comme se trouver dans un accident de voiture à grande vitesse.
											Les choses ralentissent au fur et à mesure que vous apprenez, que vous apprenez, que vous apprenez.
											Vous n'êtes pas forcément capable de le contrôler, ça vous tombe dessus, ça se fait.
											Mais c'est l'approximation la plus proche je puisse donner.
									","
											Now, I'm actually going to ask you to try something,
											so you've got to pay attention. Complexity:
											if you spend enough time doing something, time slows down
											or your skill increases, so your perceptions change.
											It's learning skills — like being in a high-speed car crash.
											Things slow down as you learn, as you learn, as you learn.
											You may not be able to affect it, it almost drifts on you. It goes.
											But that's the closest approximation I can have to it.
									","
											Şimdi sizden birşey denemenizi isteyeceğim,
											lütfen bana dikkatinizi verin. Karmaşıklık:
											birşey yapmaya yeterince zaman harcarsanız, zaman yavaşlar
											veya yeteneğiniz artar, veya algılarınız değişir.
											işte öğrenme yeteneği — yüksek hızda bir arabada kaza yapmak gibi.
											Öğrendikçe, herşey yavaşlar. Öğrendikçe daha da yavaşlar.
											Ona etki edemeyebilirsiniz, adeta sizi sürükler. Öylece gider.
											Yapabileceğim en yakın benzetme bu.
									","
											Jetzt werde ich Sie effektiv bitten, etwas zu versuchen.
											damit Sie auch aufpassen müssen. Komplexität.
											Wenn Sie genug Zeit mit etwas verbringen, verlangsamt sich die Zeit nachmal
											oder unser Können vergrössert sich, oder unsere Wahrnehmung verschiebt sich.
											Fähigkeiten zu erlernen, wie in einem Autounfall in hoher Geschwindigkeit.
											Dinge verlangsamen sich, während wir üben, während wir lernen, während wir Erfahrungen sammeln.
											Sie sind vielleicht nicht in der Lage, es zu beeinflussen. Es kommt auf Sie zu, es geht einfach.
											Aber das ist die grösste Annäherung, die ich haben kann.
									","
											Ahora les voy a pedir que intenten algo
											así que tienen que prestar atención. La complejidad.
											Si dedican suficiente tiempo a algo el tiempo va más lento
											o sus habilidades aumentan, así la percepción cambia.
											Es aprender habilidades como estar en un accidente de autos de carrera.
											Las cosas se desaceleran a medida que uno aprende, y aprende, y aprende.
											Uno no controla la cosa, apenas toca las manos, se va.
											Es la analogía más cercana que se me ocurre.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Donc, la complexité. Voyons, combien parmi vous sont des jongleurs ?
											OK, donc la plupart d'entre vous vont avoir la même réaction à ce que je vais faire.
											OK ? Et celui qui rit là-bas —
											Vous avez parfaitement compris, n'est-ce pas ?
									","
											So, complexity. Now, how many here are jugglers?
											OK, so most of you are going to have a similar reaction to this.
											OK? And whoever laughed there —
											you understood it completely, right?
									","
											Karmaşıklık. Burada kaçınız jonglör?
											Tamam, öyleyse çoğunuz buna benzer bir tepki verecek.
											Tamam mı? Burada gülen her kimse —
											tam olarak anladınız değil mi?
									","
											So. Komplexität. Also, wie viele hier können jonglieren?
											OK, also werden die meisten von Ihnen eine ähnliche Reaktion haben.
											OK? Und wer immer da gelacht hat -
											Sie haben es total verstanden, nicht?
									","
											Digámosle complejidad. ¿Cuántos son malabaristas?
											Bien, entonces muchos de ustedes van a tener reacciones similares.
											¿Bien? Y para quien se reía por allí...
											Comprendió todo, ¿verdad?
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
